state,pop,co2,avg_co2
AK,2876.226131,60034.80508,31455.51561
AL,7195.86872,153301.7021,80248.78542
AR,4552.679727,90523.07403,47537.87688
AZ,14290.22841,280301.7034,147295.9659
CA,20408.79024,330985.594,175697.1921
CO,9016.922432,198343.0416,103679.982
CT,12779.51145,268811.4578,140795.4846
DC,24644.56522,444597.3929,234620.9791
DE,12429.84127,261660.7777,137045.3095
FL,17385.23939,336539.3585,176962.299
GA,12005.95827,246874.4912,129440.2247
HI,15035.1519,253777.9803,134406.5661
IA,3109.946809,67347.96029,35228.95355
ID,4785.177778,91842.94529,48314.06154
IL,9286.16006,194300.4261,101793.2931
IN,8021.388375,175520.3358,91770.86207
KS,3920.227737,89317.61677,46618.92225
KY,5391.273333,113881.2742,59636.27379
LA,8753.407843,165989.6536,87371.53073
MA,12748.34538,255376.8945,134062.6199
MD,11769.41111,246477.9852,129123.6982
ME,3219.683544,77392.43947,40306.06151
MI,10349.35454,236464.4931,123406.9238
MN,5705.412993,127566.782,66636.09749
MO,5560.50497,124079.4691,64819.98703
MS,6813.448441,130674.6135,68744.03099
MT,2599.29683,52685.03198,27642.1644
NC,10310.80513,206694.7949,108502.8
ND,1715.365591,38662.85528,20189.11044
NE,3005.602812,67998.84091,35502.22186
NH,5443.76652,122764.4749,64104.12069
NJ,14503.71724,287263.8534,150883.7853
NM,5315.14956,104445.2642,54880.20689
NV,13476.38514,254064.5509,133770.468
NY,11918.74246,204199.2757,108059.0091
OH,9810.337088,205471.6115,107640.9743
OK,5284.226646,118986.0672,62135.14693
OR,8423.105911,161260.0261,84841.566
PA,7163.074723,143933.9712,75548.52294
RI,14975.98571,291619.8395,153297.9126
SC,10007.825,198727.8651,104367.845
SD,2071.85124,44461.62465,23266.73794
TN,9359.494234,198015.4183,103687.4563
TX,11222.01185,213593.6926,112407.8522
UT,8206.007353,147683.8805,77944.94391
VA,8075.361872,170156.1157,89115.73879
VT,2396.937008,55094.35722,28745.64711
WA,10542.81753,205549.9078,108046.3627
WI,7009.552941,154779.4606,80894.50675
WV,2542.135977,57649.9137,30096.02484
WY,2920.130178,63879.87955,33400.00486